ID,comid,main,hydroseq,outlet_comid,gages
4952,1698908,6823,150037169,1698908,
5003,1698906,6898,150037170,1698906,
4049,1698810,5562,150037173,1698816,
4943,1698796,6807,150037174,1698796,
3988,1698764,5461,150037175,1698764,
4232,1698624,5844,150037184,1698624,
4371,1698594,6019,150037186,1698848,
4236,1698540,5845,150037189,1698540,
4609,1698514,6321,150037191,1698766,
3030,1698504,4158,150037193,1698700,
4882,3993,6705,150037760,3993,
4883,3899,6706,150037764,3899,
4837,3887,6652,150037765,3887,
4563,3511,6261,150037781,3915,
4526,3217,6230,150037787,3921,
3883,931020014,5264,150037864,931020014,
4727,1743090,6481,150046405,1736958,
5103,1743048,7032,150046406,1743048,
5173,1737256,7123,150046448,1737256,
3995,1737244,5479,150046451,1736724,
4658,1737200,6392,150046452,1737252,
4469,1737142,6132,150046453,1736200,
4737,1737138,6492,150046454,1743106,
5018,1737116,6920,150046456,1737116,
5019,1737048,6921,150046463,1737048,
4728,1737024,6483,150046467,1743096,
4070,1736982,5587,150046472,1735996,
5022,1736974,6925,150046474,1736974,
5023,1736972,6926,150046475,1736972,
5024,1736954,6927,150046477,1736954,
4079,1736898,5605,150046479,1743084,
5031,1736872,6936,150046482,1736872,
5029,1736844,6933,150046483,1736844,
5188,1736660,7140,150046493,1737046,
4003,1736638,5497,150046495,1735898,
4265,1736618,5882,150046497,1736870,
5036,1736606,6942,150046498,1736606,
4275,1736352,5894,150046505,1737164,
5190,1736260,7142,150046515,1736260,
4177,1736206,5734,150046517,1736178,
5196,1736150,7151,150046520,1736150,
5197,1736120,7152,150046523,1736120,
4736,1736112,6491,150046524,1736668,
4084,1736090,5609,150046526,1736990,
4655,1736086,6387,150046527,1737016,
3516,1736082,4764,150046528,1737008,
5184,1735936,7136,150046538,1735936,
4417,1735934,6073,150046539,1735934,
5030,1735916,6934,150046540,1735916,
5782,1735894,7966,150046542,1735894,
5026,1735886,6929,150046543,1735886,
5034,1735884,6938,150046544,1735884,
3650,1735876,4957,150046545,1736838,
4657,1735864,6391,150046546,1736852,
5037,1735824,6943,150046547,1735824,
5157,1735820,7105,150046548,1735820,
4242,1735808,5850,150046549,1736832,
4723,1735752,6475,150046550,1735780,
5172,1735742,7122,150046551,1735742,
4279,1735654,5896,150046557,1736574,
3572,1735624,4805,150046559,1736726,
4659,1734238,6397,150046603,1734240,
4244,1734236,5854,150046604,1735570,
4706,1734230,6449,150046605,1734234,
4151,1734222,5705,150046606,1734226,
5125,1734220,7060,150046607,1734220,
4660,1734206,6398,150046609,1743124,
5045,1734176,6951,150046613,1734176,
4667,1734116,6404,150046617,1734118,
5204,1734058,7166,150046620,1734058,
4741,1734056,6495,150046621,1734054,
4703,1734004,6446,150046625,1734002,
4691,1733920,6431,150046632,1743112,
5086,1733890,7008,150046635,1733890,
3798,1733834,5169,150046640,1733834,
5087,1733822,7010,150046643,1733822,
5088,1733806,7011,150046644,1733806,
5089,1733804,7012,150046645,1733804,
5109,1733796,7040,150046646,1733796,
4438,1733732,6095,150046650,1733734,
5092,1733696,7018,150046653,1733696,
5093,1733668,7020,150046654,1733668,
5117,1733498,7052,150046674,1733498,
5114,1733382,7047,150046693,1733382,
4692,1733366,6432,150046697,1733802,
4412,1733362,6066,150046698,1733862,
4255,1733340,5867,150046702,1733340,
5203,1733338,7162,150046703,1733338,
4705,1732676,6448,150046727,1734196,
5124,1732662,7059,150046729,1732662,
5115,1732494,7050,150046739,1732494,
4447,1732434,6107,150046741,1732434,
4156,1732174,5714,150046760,1732134,
3999,1732128,5486,150046762,1733838,
4435,1732124,6094,150046763,1732124,
4415,1731974,6068,150046769,1734274,
5105,1731410,7035,150046776,1731410,
5096,1731386,7024,150046777,1731386,
4441,1731304,6099,150046785,1731392,
5016,1731160,6917,150046788,1731160,
5097,1731140,7025,150046790,1731140,
4164,1731138,5720,150046791,1731404,
5104,1731136,7034,150046792,1731136,
4158,1731086,5718,150046793,1731096,
3655,1731080,4961,150046794,1731080,
5094,1731078,7022,150046795,1731078,
4927,1713472,6771,150047194,1715120,
5618,1713466,7735,150047195,1713466,
4926,1713460,6770,150047196,1713464,
4891,1713444,6720,150047197,1713446,
4570,1713194,6268,150047207,1713452,
4357,1713184,6000,150047208,1713458,
4616,1705870,6331,150047341,1705870,
3944,1703564,5372,150047348,1703584,
4956,1703394,6828,150047355,1703622,
4955,1703392,6827,150047356,1703616,
4953,1703380,6826,150047357,1703606,
5688,1703348,7826,150047359,1703348,
4382,1703346,6031,150047360,1703346,
5671,1703056,7806,150047366,1703056,
5698,1702858,7836,150047371,1702858,
